question,correct,time,option_0,option_1,option_2,option_3
nǔkɑ́?,pourquoi?,15,d'accord?,tremper; ~ ndhī : tremper les habits.,Oui?,pourquoi?
hɑ̄,où?,15,prendre,bruit émis par les lèvres de la bouche pour signifier un mécontentement,Tous,où?
mvīāt,être satisfait ,15,courir,"un fagot, un tas",Le sang,être satisfait 
nnʉ̄ɑ̄,"enfler, gonfler",15,"le champ, les billons","le marché; ndʉ̄ɑ̄~ : boutique, comptoir",grand,"enfler, gonfler"
pénzēn,"représentation, action de représenter qqn",30,surnommer qqn,"sorte d'arbre très vivace, dont on fait des haies vives",grand,"représentation, action de représenter qqn"
mvíátlɑ́,commettre un lapsus,15,assassiner qqn,Ah bon?,grand,commettre un lapsus
ndè,"seigneur, sire",10,remarquer,Ah bon?,grand,"seigneur, sire"
nníí,"frais, humide, refroidi.",15,"déféquer, faire les selles",Ah bon?,grand,"frais, humide, refroidi."
ôhó,au revoir,15,bienvenue,La porte,La banane,au revoir
Comment appelle-t-on la cuillère en langue fe'éfě'e,Lū',15,Mbɑ̀ɑ̀,Lū',Mvāt,Ndʉ̄'
